day,time,house1,house2
11,SMAPV3039,1.638,0.417
11,SMAPV3040,1.563,0.417
11,SMAPV3041,1.513,0.417
11,SMAPV3042,0.331,0.417
11,SMAPV3043,0.263,0.417
11,SMAPV3044,0.294,0.417
11,SMAPV3045,0.219,0.417
11,SMAPV3046,0.206,0.417
11,SMAPV3047,0.188,0.417
11,SMAPV3048,0.119,0.417
12,SMAPV3001,0.194,0.417
12,SMAPV3002,0.113,0.417
12,SMAPV3003,0.188,0.417
12,SMAPV3004,0.113,0.417
12,SMAPV3005,0.163,0.417
12,SMAPV3006,0.131,0.417
12,SMAPV3007,0.156,0.417
12,SMAPV3008,0.119,0.417
12,SMAPV3009,0.169,0.417
12,SMAPV3010,0.063,0.417
12,SMAPV3011,0.144,0.417
12,SMAPV3012,0.1,0.417
12,SMAPV3013,0.494,0.417
12,SMAPV3014,0.225,0.417
12,SMAPV3015,0.344,0.417
12,SMAPV3016,0.2,0.417
12,SMAPV3017,0.106,0.417
12,SMAPV3018,0.131,0.417
12,SMAPV3019,0.119,0.417
12,SMAPV3020,0.156,0.417
12,SMAPV3021,0.125,0.417
12,SMAPV3022,0.188,0.417
12,SMAPV3023,0.244,0.417
12,SMAPV3024,0.169,0.417
12,SMAPV3025,0.238,0.417
12,SMAPV3026,0.194,0.417
12,SMAPV3027,0.169,0.417
12,SMAPV3028,0.213,0.417
12,SMAPV3029,0.075,0.417
12,SMAPV3030,0.144,0.417
12,SMAPV3031,0.088,0.417
12,SMAPV3032,0.188,0.417
12,SMAPV3033,0.3,0.417
12,SMAPV3034,0.225,0.417
12,SMAPV3035,0.231,0.417
12,SMAPV3036,0.494,0.417
12,SMAPV3037,1.044,0.417
12,SMAPV3038,0.331,0.417
12,SMAPV3039,0.288,0.417
12,SMAPV3040,0.338,0.417
12,SMAPV3041,0.288,0.417
12,SMAPV3042,0.275,0.417
12,SMAPV3043,0.288,0.417
12,SMAPV3044,0.169,0.417
12,SMAPV3045,0.163,0.417
12,SMAPV3046,0.1,0.417
12,SMAPV3047,0.213,0.417
12,SMAPV3048,0.15,0.417
13,SMAPV3001,0.163,0.417
13,SMAPV3002,0.081,0.417
13,SMAPV3003,0.163,0.417
13,SMAPV3004,0.081,0.417
13,SMAPV3005,0.144,0.417
13,SMAPV3006,0.1,0.417
13,SMAPV3007,0.119,0.417
13,SMAPV3008,0.113,0.417
13,SMAPV3009,0.131,0.417
13,SMAPV3010,0.1,0.417
13,SMAPV3011,0.125,0.417
13,SMAPV3012,0.094,0.417
13,SMAPV3013,0.156,0.417
13,SMAPV3014,0.35,0.417
13,SMAPV3015,0.238,0.417
13,SMAPV3016,0.244,0.417
13,SMAPV3017,0.294,0.417
13,SMAPV3018,0.2,0.417
13,SMAPV3019,0.088,0.417
13,SMAPV3020,0.144,0.417
13,SMAPV3021,0.056,0.417
13,SMAPV3022,0.144,0.417
13,SMAPV3023,0.131,0.417
13,SMAPV3024,0.125,0.417
13,SMAPV3025,0.156,0.417
13,SMAPV3026,0.106,0.417
13,SMAPV3027,0.094,0.417
13,SMAPV3028,0.131,0.417
13,SMAPV3029,0.081,0.417
13,SMAPV3030,0.238,0.417
13,SMAPV3031,0.294,0.417
13,SMAPV3032,0.475,0.417
13,SMAPV3033,0.45,0.417
13,SMAPV3034,0.638,0.417
13,SMAPV3035,0.463,0.417
13,SMAPV3036,0.356,0.417
13,SMAPV3037,0.331,0.417
13,SMAPV3038,0.613,0.417
13,SMAPV3039,0.394,0.417
13,SMAPV3040,0.244,0.417
13,SMAPV3041,0.238,0.417
13,SMAPV3042,0.294,0.417
13,SMAPV3043,0.213,0.417
13,SMAPV3044,0.138,0.417
13,SMAPV3045,0.119,0.417
13,SMAPV3046,0.156,0.417
13,SMAPV3047,0.069,0.417
13,SMAPV3048,0.163,0.417
14,SMAPV3001,0.119,0.417
14,SMAPV3002,0.15,0.417
14,SMAPV3003,0.2,0.417
14,SMAPV3004,0.169,0.417
14,SMAPV3005,0.15,0.417
14,SMAPV3006,0.081,0.417
14,SMAPV3007,0.138,0.417
14,SMAPV3008,0.081,0.417
14,SMAPV3009,0.119,0.417
14,SMAPV3010,0.094,0.417
14,SMAPV3011,0.125,0.417
14,SMAPV3012,0.1,0.417
14,SMAPV3013,0.506,0.417
14,SMAPV3014,0.256,0.417
14,SMAPV3015,0.294,0.417
14,SMAPV3016,0.194,0.417
14,SMAPV3017,0.206,0.417
14,SMAPV3018,0.144,0.417
14,SMAPV3019,0.181,0.417
14,SMAPV3020,0.138,0.417
14,SMAPV3021,0.15,0.417
14,SMAPV3022,0.206,0.417
14,SMAPV3023,0.244,0.417
14,SMAPV3024,0.213,0.417
14,SMAPV3025,0.281,0.417
14,SMAPV3026,0.206,0.417
14,SMAPV3027,0.244,0.417
14,SMAPV3028,0.131,0.417
14,SMAPV3029,0.138,0.417
14,SMAPV3030,0.125,0.417
14,SMAPV3031,0.119,0.417
14,SMAPV3032,0.225,0.417
14,SMAPV3033,0.3,0.417
14,SMAPV3034,0.231,0.417
14,SMAPV3035,0.275,0.417
14,SMAPV3036,0.813,0.417
14,SMAPV3037,0.688,0.417
14,SMAPV3038,0.275,0.417
14,SMAPV3039,0.231,0.417
14,SMAPV3040,0.388,0.417
14,SMAPV3041,0.3,0.417
14,SMAPV3042,0.25,0.417
14,SMAPV3043,0.356,0.417
14,SMAPV3044,0.238,0.417
14,SMAPV3045,0.175,0.417
14,SMAPV3046,0.119,0.417
14,SMAPV3047,0.113,0.417
14,SMAPV3048,0.131,0.417
15,SMAPV3001,0.15,0.417
15,SMAPV3002,0.081,0.417
15,SMAPV3003,0.138,0.417
15,SMAPV3004,0.094,0.417
15,SMAPV3005,0.131,0.417
15,SMAPV3006,0.088,0.417
15,SMAPV3007,0.125,0.417
15,SMAPV3008,0.113,0.417
15,SMAPV3009,0.088,0.417
15,SMAPV3010,0.125,0.417
15,SMAPV3011,0.169,0.417
15,SMAPV3012,0.106,0.417
15,SMAPV3013,0.15,0.417
15,SMAPV3014,0.169,0.417
15,SMAPV3015,0.406,0.417
15,SMAPV3016,0.35,0.417
15,SMAPV3017,0.2,0.417
15,SMAPV3018,0.244,0.417
15,SMAPV3019,0.163,0.417
15,SMAPV3020,0.1,0.417
15,SMAPV3021,0.125,0.417
15,SMAPV3022,0.081,0.417
15,SMAPV3023,0.125,0.417
15,SMAPV3024,0.094,0.417
15,SMAPV3025,0.125,0.417
15,SMAPV3026,0.106,0.417
15,SMAPV3027,0.131,0.417
15,SMAPV3028,0.106,0.417
15,SMAPV3029,0.131,0.417
15,SMAPV3030,0.169,0.417
15,SMAPV3031,0.263,0.417
15,SMAPV3032,0.219,0.417
15,SMAPV3033,0.256,0.417
15,SMAPV3034,0.244,0.417
15,SMAPV3035,0.244,0.417
15,SMAPV3036,0.281,0.417
15,SMAPV3037,0.244,0.417
15,SMAPV3038,0.275,0.417
15,SMAPV3039,0.225,0.417
15,SMAPV3040,0.225,0.417
15,SMAPV3041,0.238,0.417
15,SMAPV3042,0.231,0.417
15,SMAPV3043,0.213,0.417
15,SMAPV3044,0.225,0.417
15,SMAPV3045,0.281,0.417
15,SMAPV3046,0.194,0.417
15,SMAPV3047,0.263,0.417
15,SMAPV3048,0.231,0.417
16,SMAPV3001,0.225,0.417
16,SMAPV3002,0.113,0.417
16,SMAPV3003,0.125,0.417
16,SMAPV3004,0.106,0.417
16,SMAPV3005,0.125,0.417
16,SMAPV3006,0.113,0.417
16,SMAPV3007,0.094,0.417
